"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"LCP1"	5.77099362114046e-221	0.383475865054268	0.79	0.566	1.22258499863861e-216	"0"	"LCP1"
"ADAM19"	3.9217174699485e-219	0.716535099297127	0.501	0.236	8.30815846008589e-215	"0"	"ADAM19"
"CD69"	9.85206558387563e-218	0.432682428359487	0.666	0.399	2.08716009394405e-213	"0"	"CD69"
"STOM"	1.74925208569405e-207	0.535057100869578	0.551	0.311	3.70579054354285e-203	"0"	"STOM"
"ALOX5AP"	1.64532730768678e-203	0.386829865328245	0.67	0.4	3.48562590133444e-199	"0"	"ALOX5AP"
"CXCR6"	1.02275200128524e-200	0.600770983907287	0.524	0.265	2.16670011472277e-196	"0"	"CXCR6"
"GZMA"	6.77165383767326e-193	0.356239539339616	0.67	0.395	1.43457486551108e-188	"0"	"GZMA"
"ITGA1"	3.09040550182273e-188	1.05356693051212	0.303	0.083	6.54702405561146e-184	"0"	"ITGA1"
"GZMK"	2.26548153594413e-187	0.69085903724434	0.454	0.195	4.79942263389764e-183	"0"	"GZMK"
"CAPG"	2.06938047600387e-182	0.858875961307666	0.406	0.152	4.3839825384142e-178	"0"	"CAPG"
"CXCR4"	3.42087271258609e-180	0.389254952978438	0.747	0.542	7.24711884161363e-176	"0"	"CXCR4"
"CCL5"	3.33660840938948e-171	0.318986225666885	0.713	0.437	7.06860491529161e-167	"0"	"CCL5"
"CD96"	2.93857559324383e-163	0.372206980260121	0.718	0.499	6.22537239428706e-159	"0"	"CD96"
"CD44"	2.92130286053211e-158	0.382686349310002	0.73	0.537	6.18878011003728e-154	"0"	"CD44"
"GPR171"	3.77584945851328e-155	0.424755069455185	0.557	0.319	7.99913707786038e-151	"0"	"GPR171"
"PDCD4"	9.95380607982367e-155	0.39334352874349	0.671	0.466	2.10871381801065e-150	"0"	"PDCD4"
"RGS1"	2.74203175062368e-153	0.351164142302354	0.576	0.336	5.80899426369626e-149	"0"	"RGS1"
"CXCR3"	7.86403978653502e-153	0.433801429745952	0.55	0.305	1.66599682877744e-148	"0"	"CXCR3"
"EMB"	7.94914141750708e-153	0.39459769281204	0.666	0.464	1.68402560929887e-148	"0"	"EMB"
"SKIL"	5.26387251963797e-150	0.760596530382074	0.319	0.138	1.1151513932853e-145	"0"	"SKIL"
"F2R"	1.15913620986704e-147	0.569006834684017	0.365	0.174	2.45563006060332e-143	"0"	"F2R"
"THEMIS"	3.14026539047002e-145	0.38947812755544	0.53	0.333	6.65265222971073e-141	"0"	"THEMIS"
"PARP8"	1.09549555587889e-143	0.34571639833597	0.617	0.413	2.32080733512943e-139	"0"	"PARP8"
"CD2"	7.92922211577673e-140	0.272334368370921	0.761	0.557	1.6798057052273e-135	"0"	"CD2"
"WIPF1"	2.68662985809279e-139	0.377989674395355	0.669	0.481	5.69162535436957e-135	"0"	"WIPF1"
"JAML"	2.15490529524712e-138	0.467331801639589	0.553	0.328	4.56516686798102e-134	"0"	"JAML"
"ADGRE5"	5.72845379654384e-138	0.417840694070686	0.644	0.454	1.21357293679781e-133	"0"	"ADGRE5"
"ITGAE"	2.87297954395998e-136	0.62949148430757	0.414	0.232	6.08640716387922e-132	"0"	"ITGAE"
"MIR4680"	1.2658066790351e-129	0.477258038476295	0.555	0.356	2.68161144953585e-125	"0"	"MIR4680"
"TBCD"	1.8874747574512e-124	0.664005530727977	0.406	0.217	3.99861527366038e-120	"0"	"TBCD"
"TC2N"	3.34345300935028e-124	0.357003795015183	0.542	0.364	7.08310520030858e-120	"0"	"TC2N"
"KIAA1551"	1.46854312592286e-123	0.316721058464717	0.715	0.535	3.11110861226758e-119	"0"	"KIAA1551"
"AOAH"	1.32799625147218e-122	0.603035853377929	0.388	0.177	2.81336005874382e-118	"0"	"AOAH"
"TNFAIP3"	4.6544862363251e-121	0.390427307785439	0.581	0.393	9.86052909165472e-117	"0"	"TNFAIP3"
"FAM129A"	2.93647836539755e-120	0.369801079883139	0.495	0.319	6.22092941709471e-116	"0"	"FAM129A"
"SYTL2"	1.78191313431571e-116	0.470703403971768	0.348	0.182	3.77498297504784e-112	"0"	"SYTL2"
"AHNAK"	1.8020275548011e-112	0.305752611938726	0.694	0.512	3.81759537484613e-108	"0"	"AHNAK"
