"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"1"	3.9217174699485e-219	0.716535099297127	0.501	0.236	8.30815846008589e-215	"0"	"ADAM19"
"2"	1.02275200128524e-200	0.600770983907287	0.524	0.265	2.16670011472277e-196	"0"	"CXCR6"
"3"	3.09040550182273e-188	1.05356693051212	0.303	0.083	6.54702405561146e-184	"0"	"ITGA1"
"4"	2.26548153594413e-187	0.69085903724434	0.454	0.195	4.79942263389764e-183	"0"	"GZMK"
"5"	2.06938047600387e-182	0.858875961307666	0.406	0.152	4.3839825384142e-178	"0"	"CAPG"
"6"	5.26387251963797e-150	0.760596530382074	0.319	0.138	1.1151513932853e-145	"0"	"SKIL"
"7"	1.15913620986704e-147	0.569006834684017	0.365	0.174	2.45563006060332e-143	"0"	"F2R"
"8"	2.87297954395998e-136	0.62949148430757	0.414	0.232	6.08640716387922e-132	"0"	"ITGAE"
"9"	1.8874747574512e-124	0.664005530727977	0.406	0.217	3.99861527366038e-120	"0"	"TBCD"
"10"	1.32799625147218e-122	0.603035853377929	0.388	0.177	2.81336005874382e-118	"0"	"AOAH"
"11"	1.14774076112283e-91	0.64733112852866	0.313	0.174	2.43148880243872e-87	"0"	"BHLHE40"
"12"	6.01145899479996e-88	0.923548147538754	0.282	0.119	1.27352758804837e-83	"0"	"ITM2C"
"13"	1.43800746006945e-83	0.666571713607648	0.312	0.161	3.04641880415713e-79	"0"	"DPP4"
"14"	7.03824135044555e-78	0.600968635519433	0.276	0.14	1.49105143009189e-73	"0"	"ARHGAP35"
"15"	2.69033795504136e-71	0.584212489016612	0.286	0.154	5.69948095775513e-67	"0"	"RUNX2"
"16"	1.51052798440293e-68	0.763922218064201	0.278	0.153	3.2000535349576e-64	"0"	"FOSB"
"17"	4.68372007803256e-36	0.556796320712163	0.251	0.168	9.92246098531197e-32	"0"	"PDE4D"
"18"	4.63213126382629e-12	0.689376533554198	0.27	0.225	9.81317008241599e-08	"0"	"IL4I1"
"19"	6.03456407670935e-09	1.18747408113434	0.298	0.258	0.000127842239965088	"0"	"ANKRD11"
"20"	4.13201202785064e-07	0.559095652855984	0.268	0.316	0.00875366748100158	"0"	"GAS5-AS1"
"21"	0	1.3376665500751	0.778	0.194	0	"1"	"CCR7"
"22"	0	1.29795447501257	0.76	0.181	0	"1"	"TCF7"
"23"	0	1.26449550237951	0.622	0.15	0	"1"	"TXK"
"24"	0	1.22096978580239	0.52	0.122	0	"1"	"MYC"
"25"	0	1.11719382448323	0.696	0.199	0	"1"	"LEF1"
"26"	0	1.08774316409721	0.603	0.193	0	"1"	"LDLRAP1"
"27"	0	1.00769830807009	0.767	0.281	0	"1"	"SELL"
"28"	0	0.990560713201403	0.532	0.117	0	"1"	"MAL"
"29"	0	0.908370770980445	0.694	0.302	0	"1"	"NOSIP"
"30"	4.62734800021747e-270	1.1776925789626	0.395	0.096	9.80303673846071e-266	"1"	"TRABD2A"
"31"	1.35171453290629e-210	1.56265225416919	0.343	0.052	2.86360723796197e-206	"1"	"ACTN1"
"32"	1.05646882383781e-208	1.23509950488922	0.35	0.077	2.23812920330041e-204	"1"	"PRKCA"
"33"	1.00607992858659e-167	1.02658086974952	0.272	0.054	2.13138032871069e-163	"1"	"TSHZ2"
"34"	2.35041069698986e-160	1.330442563666	0.364	0.092	4.97934506157301e-156	"1"	"LEF1-AS1"
"35"	8.1869723871758e-160	0.982412383475976	0.377	0.116	1.73441010022319e-155	"1"	"ANK3"
"36"	2.79481822235795e-118	1.01934396177334	0.273	0.058	5.92082240406533e-114	"1"	"BACH2"
"37"	1.91336769887799e-105	0.918374546936275	0.334	0.139	4.05346947007301e-101	"1"	"NELL2"
"38"	2.31112681732123e-46	1.22977582866063	0.268	0.122	4.89612216249502e-42	"1"	"LOC728554"
"39"	2.69649564905147e-12	1.0288236241561	0.251	0.153	5.71252603251554e-08	"1"	"PLEKHG5"
"40"	1.11114920773546e-09	0.920594717182869	0.301	0.237	2.35396959658758e-05	"1"	"TEAD2"
"41"	0	2.60464027478831	0.441	0.021	0	"2"	"PRSS23"
"42"	0	2.43505536155884	0.513	0.036	0	"2"	"FCGR3A"
"43"	0	2.41850713153768	0.724	0.048	0	"2"	"CX3CR1"
"44"	0	2.3547648793827	0.711	0.037	0	"2"	"FGFBP2"
"45"	0	2.28741073986368	0.486	0.034	0	"2"	"FCGR3B"
"46"	0	2.25649484350032	0.52	0.036	0	"2"	"FGR"
"47"	0	2.046690574268	0.673	0.071	0	"2"	"ADGRG1"
"48"	0	1.94621358465861	0.586	0.049	0	"2"	"S1PR5"
"49"	0	1.92716461804272	0.45	0.038	0	"2"	"C1orf21"
"50"	0	1.72151458270099	0.785	0.131	0	"2"	"PLEK"
"51"	0	1.67641445943166	0.751	0.106	0	"2"	"GNLY"
