"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"CD40LG"	0	2.05011958312348	1	1	0	"0"	"CD40LG"
"ADAM19"	0	1.36061214883166	1	1	0	"0"	"ADAM19"
"CD4"	0	1.17867415943114	1	1	0	"0"	"CD4"
"RGS1"	6.14612215536893e-263	1.18923548064166	1	1	7.52777041589586e-259	"0"	"RGS1"
"CTSB"	1.24250015104224e-257	1.16702855741632	1	1	1.52181418499654e-253	"0"	"CTSB"
"LINC00892"	1.57865586469932e-257	1.84416554789919	1	1	1.93353770308373e-253	"0"	"LINC00892"
"ALOX5AP"	1.700407447053e-254	1.02654742883301	1	1	2.08265904115051e-250	"0"	"ALOX5AP"
"TNFAIP3"	4.61065067503503e-200	1.13836794872922	1	1	5.64712494678291e-196	"0"	"TNFAIP3"
"CXCR4"	1.00070239408888e-183	0.886828703012396	1	1	1.22566029228006e-179	"0"	"CXCR4"
"CD69"	1.10841294101502e-181	0.802487161112186	1	1	1.35758417015519e-177	"0"	"CD69"
"RBPJ"	1.1154635362747e-181	1.26962163500682	1	1	1.36621973922925e-177	"0"	"RBPJ"
"FOS"	1.62321344226152e-177	1.4093941758441	1	1	1.98811182408191e-173	"0"	"FOS"
"SRGN"	2.19813785366752e-161	0.81087730491002	1	1	2.69227924317198e-157	"0"	"SRGN"
"KLRB1"	3.38983539529867e-160	1.08288252704533	1	1	4.15187039216182e-156	"0"	"KLRB1"
"BHLHE40"	8.19808724580233e-159	1.2407771217753	1	1	1.00410172586587e-154	"0"	"BHLHE40"
"TMEM173"	1.94411844845322e-155	1.11370143412869	1	1	2.3811562756655e-151	"0"	"TMEM173"
"IFI44"	2.19999898544201e-154	1.26535447596697	1	1	2.69455875736938e-150	"0"	"IFI44"
"NFKBIA"	1.30131470820645e-153	0.716300058759863	1	1	1.59385025461126e-149	"0"	"NFKBIA"
"BHLHE40-AS1"	5.69002406617566e-152	1.81096194731864	1	1	6.96914147625195e-148	"0"	"BHLHE40-AS1"
"CAPG"	1.83420141373716e-150	1.27463048852502	1	1	2.24652989154528e-146	"0"	"CAPG"
"S100A11"	9.36519482716419e-147	0.926329752195324	1	1	1.14704906243107e-142	"0"	"S100A11"
"CTSL"	2.59975443496352e-140	2.4621514156947	1	1	3.18417923194332e-136	"0"	"CTSL"
"IL7R"	2.0376790879141e-129	0.681026304717609	1	1	2.49574934687719e-125	"0"	"IL7R"
"SAMSN1"	3.00990326962811e-124	1.21024951868822	1	1	3.68652952464051e-120	"0"	"SAMSN1"
"NR3C1"	2.78873338147827e-122	1.10001630321511	1	1	3.41564064563459e-118	"0"	"NR3C1"
"SLC2A3"	8.60106339528233e-121	1.06556958373066	1	1	1.05345824465418e-116	"0"	"SLC2A3"
"GPR171"	9.42836127589765e-119	1.01640385413839	1	1	1.15478568907194e-114	"0"	"GPR171"
